description,description_en,transaction_type,amount_range,tax_rate,debit_account_code,credit_account_code,debit_account_type,credit_account_type,confidence,source
الواح قرميد بي في سي,الواح قرميد بي في سي,invoice,large,15.0,410015,201002,,,0.95,real_odoo
الواح قرميد بي في سي,الواح قرميد بي في سي,invoice,large,15.0,104041,201002,,,0.95,real_odoo
"Material
ALUMINUM CEILING 60X60CM
GRED WITH -59.5X59.5 PARFORETED","Material
ALUMINUM CEILING 60X60CM
GRED WITH -59.5X59.5 PARFORETED",invoice,large,15.0,410015,201002,,,0.95,real_odoo
"Material
ALUMINUM CEILING 60X60CM
GRED WITH -59.5X59.5 PARFORETED","Material
ALUMINUM CEILING 60X60CM
GRED WITH -59.5X59.5 PARFORETED",invoice,large,15.0,104041,201002,,,0.95,real_odoo
New Office,New Office,invoice,medium,15.0,106010,201002,,,0.95,real_odoo
New Office,New Office,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
غراء سافيتو اخضر,غراء سافيتو اخضر,invoice,small,15.0,410004,201002,,,0.95,real_odoo
غراء سافيتو اخضر,غراء سافيتو اخضر,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Translation,Translation,invoice,medium,15.0,400033,201002,,,0.95,real_odoo
Translation,Translation,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
"Pipe 4""","Pipe 4""",invoice,medium,15.0,410007,201002,,,0.95,real_odoo
"Pipe 4""","Pipe 4""",invoice,medium,15.0,410006,201002,,,0.95,real_odoo
"Pipe 4""","Pipe 4""",invoice,medium,15.0,410004,201002,,,0.95,real_odoo
"Masking Tape 2"" 24 Roll Box","Masking Tape 2"" 24 Roll Box",invoice,medium,15.0,410004,201002,,,0.95,real_odoo
"Masking Tape 2"" 24 Roll Box","Masking Tape 2"" 24 Roll Box",invoice,medium,15.0,104041,201002,,,0.95,real_odoo
UPC World toner 415A,UPC World toner 415A,invoice,medium,15.0,400055,201002,,,0.95,real_odoo
UPC World toner 415A,UPC World toner 415A,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
PVC electrical pipe 25MM Black,PVC electrical pipe 25MM Black,invoice,large,15.0,410015,201002,,,0.95,real_odoo
PVC electrical pipe 25MM Black,PVC electrical pipe 25MM Black,invoice,large,15.0,104041,201002,,,0.95,real_odoo
Nexan flex rubber cable 5C*16MM2,Nexan flex rubber cable 5C*16MM2,invoice,large,15.0,410007,201002,,,0.95,real_odoo
Nexan flex rubber cable 5C*16MM2,Nexan flex rubber cable 5C*16MM2,invoice,large,15.0,104041,201002,,,0.95,real_odoo
DUCT HOSE 47.5 SUPAFLEX,DUCT HOSE 47.5 SUPAFLEX,invoice,small,15.0,410016,201002,,,0.95,real_odoo
DUCT HOSE 47.5 SUPAFLEX,DUCT HOSE 47.5 SUPAFLEX,invoice,small,15.0,104041,201002,,,0.95,real_odoo
"5mm steel cutting , 10mm plate hole","5mm steel cutting , 10mm plate hole",invoice,medium,0.0,400001,201002,,,0.95,real_odoo
Material,Material,invoice,medium,15.0,410004,201002,,,0.95,real_odoo
Material,Material,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
دسك قص حديد 4.5-1  ملي,دسك قص حديد 4.5-1  ملي,invoice,small,15.0,410004,201002,,,0.95,real_odoo
دسك قص حديد 4.5-1  ملي,دسك قص حديد 4.5-1  ملي,invoice,small,15.0,104041,201002,,,0.95,real_odoo
"Medical Insurance
Ahmed Hamdi Bedir Soliman Elsobki
27 Jan 2025 To 14 Oct 2025","Medical Insurance
Ahmed Hamdi Bedir Soliman Elsobki
27 Jan 2025 To 14 Oct 2025",invoice,small,15.0,104021,201002,,,0.95,real_odoo
"Medical Insurance
Ahmed Hamdi Bedir Soliman Elsobki
27 Jan 2025 To 14 Oct 2025","Medical Insurance
Ahmed Hamdi Bedir Soliman Elsobki
27 Jan 2025 To 14 Oct 2025",invoice,small,15.0,104041,201002,,,0.95,real_odoo
"Medical Insurance
Zeeshan Ahmad Khursheed
26 Jan 2025 To 3 Nov 2025","Medical Insurance
Zeeshan Ahmad Khursheed
26 Jan 2025 To 3 Nov 2025",invoice,small,0.0,104021,201002,,,0.95,real_odoo
Material,Material,invoice,medium,15.0,410012,201002,,,0.95,real_odoo
Delivery charge,Delivery charge,invoice,small,15.0,410022,201002,,,0.95,real_odoo
Delivery charge,Delivery charge,invoice,small,15.0,104041,201002,,,0.95,real_odoo
"Finger print reader, face recognition","Finger print reader, face recognition",invoice,medium,15.0,410004,201002,,,0.95,real_odoo
"Finger print reader, face recognition","Finger print reader, face recognition",invoice,medium,15.0,104041,201002,,,0.95,real_odoo
HDMSIEXT130-UKVM HDMI,HDMSIEXT130-UKVM HDMI,invoice,small,15.0,106010,201002,,,0.95,real_odoo
HDMSIEXT130-UKVM HDMI,HDMSIEXT130-UKVM HDMI,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Automatic wire crimper & Stripper 5 In 1,Automatic wire crimper & Stripper 5 In 1,invoice,medium,15.0,410007,201002,,,0.95,real_odoo
Automatic wire crimper & Stripper 5 In 1,Automatic wire crimper & Stripper 5 In 1,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
Material,Material,invoice,medium,15.0,410015,201002,,,0.95,real_odoo
"Tools
W/C BOLT
HOSE 1/2X1/2 60CM
WATER FAUCET FPR WASH BASIN
DRAIN HOSE WASH BASIN
DRAIN HOSE FITTING","Tools
W/C BOLT
HOSE 1/2X1/2 60CM
WATER FAUCET FPR WASH BASIN
DRAIN HOSE WASH BASIN
DRAIN HOSE FITTING",invoice,medium,15.0,106010,201002,,,0.95,real_odoo
"Tools
W/C BOLT
HOSE 1/2X1/2 60CM
WATER FAUCET FPR WASH BASIN
DRAIN HOSE WASH BASIN
DRAIN HOSE FITTING","Tools
W/C BOLT
HOSE 1/2X1/2 60CM
WATER FAUCET FPR WASH BASIN
DRAIN HOSE WASH BASIN
DRAIN HOSE FITTING",invoice,medium,15.0,104041,201002,,,0.95,real_odoo
"Tools
Beauenty USB Endoscope for iPhone, 1920P HD
Borescope Inspection Camera with 8 Adjustable
LED
Lights, Endoscope with 16.4ft Semi-Rigid Snake
Camera, 8 mm IP67 Waterproof Boroscope for
Ios","Tools
Beauenty USB Endoscope for iPhone, 1920P HD
Borescope Inspection Camera with 8 Adjustable
LED
Lights, Endoscope with 16.4ft Semi-Rigid Snake
Camera, 8 mm IP67 Waterproof Boroscope for
Ios",invoice,small,15.0,106010,201002,,,0.95,real_odoo
"Tools
Beauenty USB Endoscope for iPhone, 1920P HD
Borescope Inspection Camera with 8 Adjustable
LED
Lights, Endoscope with 16.4ft Semi-Rigid Snake
Camera, 8 mm IP67 Waterproof Boroscope for
Ios","Tools
Beauenty USB Endoscope for iPhone, 1920P HD
Borescope Inspection Camera with 8 Adjustable
LED
Lights, Endoscope with 16.4ft Semi-Rigid Snake
Camera, 8 mm IP67 Waterproof Boroscope for
Ios",invoice,small,15.0,104041,201002,,,0.95,real_odoo
Zinc phosphate primer-dark grey 16L,Zinc phosphate primer-dark grey 16L,invoice,medium,15.0,410008,201002,,,0.95,real_odoo
Zinc phosphate primer-dark grey 16L,Zinc phosphate primer-dark grey 16L,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
Cement Board 9MM,Cement Board 9MM,invoice,medium,15.0,410015,201002,,,0.95,real_odoo
Cement Board 9MM,Cement Board 9MM,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
Self drilling screw wafer head,Self drilling screw wafer head,invoice,small,15.0,410004,201002,,,0.95,real_odoo
Self drilling screw wafer head,Self drilling screw wafer head,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Cement,Cement,invoice,small,15.0,410015,201002,,,0.95,real_odoo
Cement,Cement,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Screw driver bits 10 PCS,Screw driver bits 10 PCS,invoice,small,15.0,410004,201002,,,0.95,real_odoo
Screw driver bits 10 PCS,Screw driver bits 10 PCS,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Crown cordless drill 14.4V,Crown cordless drill 14.4V,invoice,medium,15.0,410004,201002,,,0.95,real_odoo
Crown cordless drill 14.4V,Crown cordless drill 14.4V,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
12way easy pact 60A Main Schnieder,12way easy pact 60A Main Schnieder,invoice,medium,15.0,410007,201002,,,0.95,real_odoo
12way easy pact 60A Main Schnieder,12way easy pact 60A Main Schnieder,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
HIMEL-MCB 3P 100A,HIMEL-MCB 3P 100A,invoice,medium,15.0,410007,201002,,,0.95,real_odoo
HIMEL-MCB 3P 100A,HIMEL-MCB 3P 100A,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
3C * 16 Flexible WE cable,3C * 16 Flexible WE cable,invoice,medium,15.0,410007,201002,,,0.95,real_odoo
3C * 16 Flexible WE cable,3C * 16 Flexible WE cable,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
Petromin diesel 15w40,Petromin diesel 15w40,invoice,small,0.0,400042,201002,,,0.95,real_odoo
Petromin diesel 15w40,Petromin diesel 15w40,invoice,small,0.0,400041,201002,,,0.95,real_odoo
"Material
Rockwool dens 50 - Rockwool dens 50","Material
Rockwool dens 50 - Rockwool dens 50",invoice,large,15.0,410015,201002,,,0.95,real_odoo
"Material
Rockwool dens 50 - Rockwool dens 50","Material
Rockwool dens 50 - Rockwool dens 50",invoice,large,15.0,104041,201002,,,0.95,real_odoo
رايزن خلفي 315/80/22.5,رايزن خلفي 315/80/22.5,invoice,medium,15.0,400041,201002,,,0.95,real_odoo
رايزن خلفي 315/80/22.5,رايزن خلفي 315/80/22.5,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
FL20P/6 Ellectro Box,FL20P/6 Ellectro Box,invoice,medium,15.0,410007,201002,,,0.95,real_odoo
FL20P/6 Ellectro Box,FL20P/6 Ellectro Box,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
"Expenses
تجديد الشقة 201 شهري من تاريخه","Expenses
تجديد الشقة 201 شهري من تاريخه",invoice,medium,0.0,400026,201002,,,0.95,real_odoo
حديد مجاري شنل 80*45*6مل,حديد مجاري شنل 80*45*6مل,invoice,medium,15.0,410004,201002,,,0.95,real_odoo
حديد مجاري شنل 80*45*6مل,حديد مجاري شنل 80*45*6مل,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
ultimate 1L white,ultimate 1L white,invoice,small,15.0,410015,201002,,,0.95,real_odoo
ultimate 1L white,ultimate 1L white,invoice,small,15.0,410008,201002,,,0.95,real_odoo
ultimate 1L white,ultimate 1L white,invoice,small,15.0,104041,201002,,,0.95,real_odoo
حجر قص حديد 1مل 4.5  انش,حجر قص حديد 1مل 4.5  انش,invoice,small,15.0,410004,201002,,,0.95,real_odoo
حجر قص حديد 1مل 4.5  انش,حجر قص حديد 1مل 4.5  انش,invoice,small,15.0,104041,201002,,,0.95,real_odoo
بخاخ بوية اماراتي,بخاخ بوية اماراتي,invoice,small,15.0,410008,201002,,,0.95,real_odoo
بخاخ بوية اماراتي,بخاخ بوية اماراتي,invoice,small,15.0,104041,201002,,,0.95,real_odoo
"Transportation
Transport from Dammam to Alkharj","Transportation
Transport from Dammam to Alkharj",invoice,small,15.0,410022,201002,,,0.95,real_odoo
"Transportation
Transport from Dammam to Alkharj","Transportation
Transport from Dammam to Alkharj",invoice,small,15.0,104041,201002,,,0.95,real_odoo
Petrol,Petrol,invoice,small,15.0,410008,201002,,,0.95,real_odoo
Petrol,Petrol,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Silicone white 1200 Cartoon,Silicone white 1200 Cartoon,invoice,small,15.0,410007,201002,,,0.95,real_odoo
Silicone white 1200 Cartoon,Silicone white 1200 Cartoon,invoice,small,15.0,104041,201002,,,0.95,real_odoo
"service
شريحة تتبع سيارة1648","service
شريحة تتبع سيارة1648",invoice,medium,0.0,400041,201002,,,0.95,real_odoo
Cement Normal,Cement Normal,invoice,medium,15.0,410015,201002,,,0.95,real_odoo
Cement Normal,Cement Normal,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
Scaffolding,Scaffolding,invoice,small,15.0,400034,201002,,,0.95,real_odoo
Scaffolding,Scaffolding,invoice,small,15.0,104041,201002,,,0.95,real_odoo
car maintenance,car maintenance,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
"HR Fees
TAMKEEN Mohammed Awad","HR Fees
TAMKEEN Mohammed Awad",invoice,medium,0.0,400010,201002,,,0.95,real_odoo
"HR Fees
Amaduldin Haroon Carmod","HR Fees
Amaduldin Haroon Carmod",invoice,medium,0.0,400010,201002,,,0.95,real_odoo
Safety Tools,Safety Tools,invoice,medium,15.0,106010,201002,,,0.95,real_odoo
Rash Number 0507824074,Rash Number 0507824074,invoice,small,15.0,400020,201002,,,0.95,real_odoo
Rash Number 0507824074,Rash Number 0507824074,invoice,small,15.0,104041,201002,,,0.95,real_odoo
u pvc 1-1/2 pipe white,u pvc 1-1/2 pipe white,invoice,small,15.0,410007,201002,,,0.95,real_odoo
u pvc 1-1/2 pipe white,u pvc 1-1/2 pipe white,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Silicone white 1200 Cartoon 24 PCS,Silicone white 1200 Cartoon 24 PCS,invoice,small,15.0,410007,201002,,,0.95,real_odoo
Silicone white 1200 Cartoon 24 PCS,Silicone white 1200 Cartoon 24 PCS,invoice,small,15.0,104041,201002,,,0.95,real_odoo
طبلون 9  خط 63  امبير الفنار ريسان,طبلون 9  خط 63  امبير الفنار ريسان,invoice,medium,15.0,410007,201002,,,0.95,real_odoo
طبلون 9  خط 63  امبير الفنار ريسان,طبلون 9  خط 63  امبير الفنار ريسان,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
"Tile and Ceramic
Ground Floor","Tile and Ceramic
Ground Floor",invoice,large,0.0,410063,201002,,,0.95,real_odoo
"Fees
Car Mod","Fees
Car Mod",invoice,small,15.0,400045,201002,,,0.95,real_odoo
"Fees
Car Mod","Fees
Car Mod",invoice,small,15.0,104041,201002,,,0.95,real_odoo
كويل مجلفن مشرح 1.22  متر * .5  مم,كويل مجلفن مشرح 1.22  متر * .5  مم,invoice,large,15.0,410012,201002,,,0.95,real_odoo
كويل مجلفن مشرح 1.22  متر * .5  مم,كويل مجلفن مشرح 1.22  متر * .5  مم,invoice,large,15.0,104041,201002,,,0.95,real_odoo
"Medical Insurance
Eng Mustafa - Tamkeen","Medical Insurance
Eng Mustafa - Tamkeen",invoice,small,0.0,104021,201002,,,0.95,real_odoo
Fire alarm system,Fire alarm system,invoice,large,15.0,410017,201002,,,0.95,real_odoo
Fire alarm system,Fire alarm system,invoice,large,15.0,104041,201002,,,0.95,real_odoo
Basim Number 553004708,Basim Number 553004708,invoice,small,15.0,400020,201002,,,0.95,real_odoo
Basim Number 553004708,Basim Number 553004708,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Abdulrahman Number 553006732,Abdulrahman Number 553006732,invoice,small,15.0,400020,201002,,,0.95,real_odoo
Abdulrahman Number 553006732,Abdulrahman Number 553006732,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Office Internet Number 37001720592,Office Internet Number 37001720592,invoice,small,15.0,400020,201002,,,0.95,real_odoo
Office Internet Number 37001720592,Office Internet Number 37001720592,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Mokhtar Number 559108339,Mokhtar Number 559108339,invoice,small,15.0,400020,201002,,,0.95,real_odoo
Mokhtar Number 559108339,Mokhtar Number 559108339,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Anil Number 553007103,Anil Number 553007103,invoice,small,15.0,400020,201002,,,0.95,real_odoo
Anil Number 553007103,Anil Number 553007103,invoice,small,15.0,104041,201002,,,0.95,real_odoo
جالون بويه رمادي فاتح لماع ناري,جالون بويه رمادي فاتح لماع ناري,invoice,small,15.0,410008,201002,,,0.95,real_odoo
جالون بويه رمادي فاتح لماع ناري,جالون بويه رمادي فاتح لماع ناري,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Jerry Petrol Can 20LTR,Jerry Petrol Can 20LTR,invoice,small,15.0,410011,201002,,,0.95,real_odoo
Jerry Petrol Can 20LTR,Jerry Petrol Can 20LTR,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Cable tie 100S,Cable tie 100S,invoice,small,15.0,410007,201002,,,0.95,real_odoo
Cable tie 100S,Cable tie 100S,invoice,small,15.0,104041,201002,,,0.95,real_odoo
13A Adapter,13A Adapter,invoice,small,15.0,410004,201002,,,0.95,real_odoo
13A Adapter,13A Adapter,invoice,small,15.0,104041,201002,,,0.95,real_odoo
socket internet,socket internet,invoice,small,15.0,410007,201002,,,0.95,real_odoo
socket internet,socket internet,invoice,small,15.0,104041,201002,,,0.95,real_odoo
تيب سباكه صغير,تيب سباكه صغير,invoice,small,15.0,410007,201002,,,0.95,real_odoo
تيب سباكه صغير,تيب سباكه صغير,invoice,small,15.0,104041,201002,,,0.95,real_odoo
holso steel 50mm,holso steel 50mm,invoice,small,15.0,410007,201002,,,0.95,real_odoo
holso steel 50mm,holso steel 50mm,invoice,small,15.0,104041,201002,,,0.95,real_odoo
of connector,of connector,invoice,small,15.0,400027,201002,,,0.95,real_odoo
of connector,of connector,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Gypsum Fisher for wing type italy,Gypsum Fisher for wing type italy,invoice,small,15.0,106010,201002,,,0.95,real_odoo
Gypsum Fisher for wing type italy,Gypsum Fisher for wing type italy,invoice,small,15.0,104041,201002,,,0.95,real_odoo
SS tapping screws Al-essa 3.9*100MM,SS tapping screws Al-essa 3.9*100MM,invoice,small,15.0,106010,201002,,,0.95,real_odoo
SS tapping screws Al-essa 3.9*100MM,SS tapping screws Al-essa 3.9*100MM,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Connection led HI V MAX,Connection led HI V MAX,invoice,small,15.0,106010,201002,,,0.95,real_odoo
Connection led HI V MAX,Connection led HI V MAX,invoice,small,15.0,104041,201002,,,0.95,real_odoo
"one side pipe clamp 1""","one side pipe clamp 1""",invoice,small,15.0,106010,201002,,,0.95,real_odoo
"one side pipe clamp 1""","one side pipe clamp 1""",invoice,small,15.0,104041,201002,,,0.95,real_odoo
"Elbow 90 degree 4""","Elbow 90 degree 4""",invoice,small,0.0,410007,201002,,,0.95,real_odoo
Tools,Tools,invoice,small,15.0,410015,201002,,,0.95,real_odoo
زاوية حديد,زاوية حديد,invoice,small,0.0,410012,201002,,,0.95,real_odoo
"Tools
Isolation Material","Tools
Isolation Material",invoice,medium,15.0,410015,201002,,,0.95,real_odoo
"Tools
Isolation Material","Tools
Isolation Material",invoice,medium,15.0,104041,201002,,,0.95,real_odoo
ACDelco Battery 94R72,ACDelco Battery 94R72,invoice,small,15.0,410004,201002,,,0.95,real_odoo
ACDelco Battery 94R72,ACDelco Battery 94R72,invoice,small,15.0,104041,201002,,,0.95,real_odoo
بخاخ صدى صيني,بخاخ صدى صيني,invoice,small,15.0,410004,201002,,,0.95,real_odoo
بخاخ صدى صيني,بخاخ صدى صيني,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Fuse 30+40+60,Fuse 30+40+60,invoice,small,15.0,410007,201002,,,0.95,real_odoo
Fuse 30+40+60,Fuse 30+40+60,invoice,small,15.0,104041,201002,,,0.95,real_odoo
مكنسة ملون,مكنسة ملون,invoice,small,15.0,410004,201002,,,0.95,real_odoo
مكنسة ملون,مكنسة ملون,invoice,small,15.0,104041,201002,,,0.95,real_odoo
معجون جبس امبورد كبير,معجون جبس امبورد كبير,invoice,small,15.0,410015,201002,,,0.95,real_odoo
معجون جبس امبورد كبير,معجون جبس امبورد كبير,invoice,small,15.0,104041,201002,,,0.95,real_odoo
"Equipment Rental
Forklift 16ton Jan2025","Equipment Rental
Forklift 16ton Jan2025",invoice,large,15.0,400034,201002,,,0.95,real_odoo
"Equipment Rental
Forklift 16ton Jan2025","Equipment Rental
Forklift 16ton Jan2025",invoice,large,15.0,104041,201002,,,0.95,real_odoo
"Container Rental
40FT","Container Rental
40FT",invoice,large,15.0,400034,201002,,,0.95,real_odoo
"Container Rental
40FT","Container Rental
40FT",invoice,large,15.0,104041,201002,,,0.95,real_odoo
XHD TIP,XHD TIP,invoice,small,15.0,410008,201002,,,0.95,real_odoo
XHD TIP,XHD TIP,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Pure water can 5 Gallon,Pure water can 5 Gallon,invoice,small,15.0,410007,201002,,,0.95,real_odoo
Pure water can 5 Gallon,Pure water can 5 Gallon,invoice,small,15.0,104041,201002,,,0.95,real_odoo
ROCO marker ( PKT ),ROCO marker ( PKT ),invoice,small,15.0,410004,201002,,,0.95,real_odoo
ROCO marker ( PKT ),ROCO marker ( PKT ),invoice,small,15.0,104041,201002,,,0.95,real_odoo
ROD GI 5*1M,ROD GI 5*1M,invoice,small,15.0,410004,201002,,,0.95,real_odoo
ROD GI 5*1M,ROD GI 5*1M,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Tapping screws FH-6X3,Tapping screws FH-6X3,invoice,small,15.0,410004,201002,,,0.95,real_odoo
Tapping screws FH-6X3,Tapping screws FH-6X3,invoice,small,15.0,104041,201002,,,0.95,real_odoo
socket setilet,socket setilet,invoice,small,15.0,400012,201002,,,0.95,real_odoo
socket setilet,socket setilet,invoice,small,15.0,104041,201002,,,0.95,real_odoo
ماسورة 4  بوصة,ماسورة 4  بوصة,invoice,medium,0.0,410007,201002,,,0.95,real_odoo
غايون 4*2,غايون 4*2,invoice,small,15.0,410004,201002,,,0.95,real_odoo
غايون 4*2,غايون 4*2,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Steel Cutting Disk 4.5,Steel Cutting Disk 4.5,invoice,small,15.0,410012,201002,,,0.95,real_odoo
Green Leather Gloves ( PKT ) Green Leather Gloves,Green Leather Gloves ( PKT ) Green Leather Gloves,invoice,small,15.0,410004,201002,,,0.95,real_odoo
Green Leather Gloves ( PKT ) Green Leather Gloves,Green Leather Gloves ( PKT ) Green Leather Gloves,invoice,small,15.0,104041,201002,,,0.95,real_odoo
"Rubber Clamp 4""","Rubber Clamp 4""",invoice,small,15.0,410007,201002,,,0.95,real_odoo
"Rubber Clamp 4""","Rubber Clamp 4""",invoice,small,15.0,104041,201002,,,0.95,real_odoo
مربط كيبل تايد 250 ( PKT ) مربط كيبل تايد 250,مربط كيبل تايد 250 ( PKT ) مربط كيبل تايد 250,invoice,small,15.0,410007,201002,,,0.95,real_odoo
مربط كيبل تايد 250 ( PKT ) مربط كيبل تايد 250,مربط كيبل تايد 250 ( PKT ) مربط كيبل تايد 250,invoice,small,15.0,104041,201002,,,0.95,real_odoo
هول سو,هول سو,invoice,small,15.0,410007,201002,,,0.95,real_odoo
هول سو,هول سو,invoice,small,15.0,104041,201002,,,0.95,real_odoo
"PVC SHD 40 ELBOW 1""","PVC SHD 40 ELBOW 1""",invoice,small,15.0,410007,201002,,,0.95,real_odoo
"PVC SHD 40 ELBOW 1""","PVC SHD 40 ELBOW 1""",invoice,small,15.0,104041,201002,,,0.95,real_odoo
CLASS,CLASS,invoice,medium,15.0,410015,201002,,,0.95,real_odoo
CLASS,CLASS,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
PPR reducer 32*25MM,PPR reducer 32*25MM,invoice,small,15.0,410007,201002,,,0.95,real_odoo
PPR reducer 32*25MM,PPR reducer 32*25MM,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Tape measure 7.5M,Tape measure 7.5M,invoice,small,15.0,410004,201002,,,0.95,real_odoo
Tape measure 7.5M,Tape measure 7.5M,invoice,small,15.0,104041,201002,,,0.95,real_odoo
"Roco Marker red,white,black,green","Roco Marker red,white,black,green",invoice,small,15.0,410004,201002,,,0.95,real_odoo
"Roco Marker red,white,black,green","Roco Marker red,white,black,green",invoice,small,15.0,104041,201002,,,0.95,real_odoo
Safety shoes U-Safe - INDIA,Safety shoes U-Safe - INDIA,invoice,small,15.0,410006,201002,,,0.95,real_odoo
Safety shoes U-Safe - INDIA,Safety shoes U-Safe - INDIA,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Heather Fouri,Heather Fouri,invoice,small,15.0,410015,201002,,,0.95,real_odoo
Heather Fouri,Heather Fouri,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Hex Bolt DIN 933,Hex Bolt DIN 933,invoice,medium,15.0,410004,201002,,,0.95,real_odoo
Hex Bolt DIN 933,Hex Bolt DIN 933,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
Self drilling drywall screw (PKT),Self drilling drywall screw (PKT),invoice,small,15.0,410004,201002,,,0.95,real_odoo
Self drilling drywall screw (PKT),Self drilling drywall screw (PKT),invoice,small,15.0,104041,201002,,,0.95,real_odoo
Planer manual Gypsum WADFOW,Planer manual Gypsum WADFOW,invoice,small,15.0,410004,201002,,,0.95,real_odoo
Planer manual Gypsum WADFOW,Planer manual Gypsum WADFOW,invoice,small,15.0,104041,201002,,,0.95,real_odoo
بلبل نجار,بلبل نجار,invoice,small,15.0,410004,201002,,,0.95,real_odoo
بلبل نجار,بلبل نجار,invoice,small,15.0,104041,201002,,,0.95,real_odoo
شفرات سكين طويل,شفرات سكين طويل,invoice,small,15.0,410004,201002,,,0.95,real_odoo
شفرات سكين طويل,شفرات سكين طويل,invoice,small,15.0,104041,201002,,,0.95,real_odoo
"car maintenance
Mubarak Car Maintenance","car maintenance
Mubarak Car Maintenance",invoice,small,15.0,400026,201002,,,0.95,real_odoo
"car maintenance
Mubarak Car Maintenance","car maintenance
Mubarak Car Maintenance",invoice,small,15.0,104041,201002,,,0.95,real_odoo
"Scaffolding
Rental period: 3 Days","Scaffolding
Rental period: 3 Days",invoice,small,15.0,400034,201002,,,0.95,real_odoo
"Scaffolding
Rental period: 3 Days","Scaffolding
Rental period: 3 Days",invoice,small,15.0,104041,201002,,,0.95,real_odoo
غطاء مسمار قراميد,غطاء مسمار قراميد,invoice,medium,15.0,410015,201002,,,0.95,real_odoo
غطاء مسمار قراميد,غطاء مسمار قراميد,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
1 male,1 male,invoice,small,0.0,410001,201002,,,0.95,real_odoo
Office 701,Office 701,invoice,medium,0.0,400031,201002,,,0.95,real_odoo
"End Cap PVC 4"" SCH40","End Cap PVC 4"" SCH40",invoice,small,15.0,410007,201002,,,0.95,real_odoo
"End Cap PVC 4"" SCH40","End Cap PVC 4"" SCH40",invoice,small,15.0,104041,201002,,,0.95,real_odoo
Tarpaulin Gray 8*10Y,Tarpaulin Gray 8*10Y,invoice,medium,15.0,410004,201002,,,0.95,real_odoo
Tarpaulin Gray 8*10Y,Tarpaulin Gray 8*10Y,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
"Elbo PVC 1"" SCH40 90 degree","Elbo PVC 1"" SCH40 90 degree",invoice,small,15.0,410007,201002,,,0.95,real_odoo
"Elbo PVC 1"" SCH40 90 degree","Elbo PVC 1"" SCH40 90 degree",invoice,small,15.0,104041,201002,,,0.95,real_odoo
حبل حزام سقالة مع هوك صيني,حبل حزام سقالة مع هوك صيني,invoice,small,15.0,410006,201002,,,0.95,real_odoo
حبل حزام سقالة مع هوك صيني,حبل حزام سقالة مع هوك صيني,invoice,small,15.0,104041,201002,,,0.95,real_odoo
كوع زاوية 90  مقاس 63مل,كوع زاوية 90  مقاس 63مل,invoice,medium,15.0,410007,201002,,,0.95,real_odoo
كوع زاوية 90  مقاس 63مل,كوع زاوية 90  مقاس 63مل,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
"Drilling Screw Pan Washer 8*1/2"" ( BOX ) Drilling Screw Pan Washer 8*1/2""","Drilling Screw Pan Washer 8*1/2"" ( BOX ) Drilling Screw Pan Washer 8*1/2""",invoice,small,15.0,410004,201002,,,0.95,real_odoo
